miles_from,miles_to,w_10000_10199,w_10200_10399,w_10400_10599,w_10600_10799,w_10800_10999,w_11000_11199,w_11200_11399,w_11400_11599,w_11600_11799,w_11800_11999,w_12000_12499,w_12500_12999
1,20,6862,6967,7073,7178,7281,7386,7492,7597,7700,7807,7961,8170
21,40,7127,7236,7347,7456,7566,7677,7786,7897,8006,8114,8278,8499
41,60,7394,7509,7624,7737,7851,7964,8080,8196,8312,8425,8595,8824
61,80,7660,7779,7899,8018,8138,8255,8375,8495,8614,8733,8911,9154
81,100,7925,8050,8175,8298,8420,8546,8669,8794,8920,9041,9231,9484
101,120,8193,8321,8448,8577,8708,8836,8966,9092,9221,9349,9546,9809
121,140,8458,8591,8724,8857,8992,9126,9261,9392,9528,9659,9864,10098
141,160,8724,8862,9002,9097,9236,9373,9513,9653,9789,9927,10140,10427
161,180,8949,9092,9236,9378,9522,9664,9809,9952,10096,10235,10456,10755
181,200,9218,9363,9511,9659,9807,9954,10104,10251,10399,10546,10773,11082
201,220,9349,9499,9648,9802,9951,10099,10251,10402,10551,10701,10932,11247
221,240,9485,9637,9787,9941,10094,10246,10400,10555,10703,10857,11092,11409
241,260,9617,9771,9924,10081,10235,10388,10547,10703,10856,11012,11251,11575
261,280,9750,9909,10062,10223,10380,10534,10696,10852,11007,11167,11414,11738
281,300,9883,10045,10201,10362,10524,10679,10843,11001,11160,11323,11571,11903
301,320,10017,10182,10337,10504,10668,10823,10990,11153,11312,11479,11729,12067
321,340,10149,10317,10476,10645,10809,10970,11138,11302,11464,11633,11886,12233
341,360,10282,10451,10612,10785,10952,11114,11288,11449,11618,11788,12045,12394
361,380,10416,10588,10752,10926,11093,11260,11436,11599,11771,11945,12202,12560
381,400,10549,10724,10889,11065,11236,11403,11584,11748,11923,12099,12364,12724
401,420,10681,10860,11026,11206,11377,11549,11731,11899,12075,12256,12520,12890
421,440,10816,10995,11163,11347,11519,11694,11880,12048,12227,12411,12678,13052
441,460,10949,11128,11302,11487,11661,11839,12027,12197,12380,12565,12836,13216
461,480,11082,11264,11438,11628,11803,11985,12176,12347,12532,12720,12995,13380
481,500,11216,11399,11576,11769,11946,12129,12324,12495,12683,12874,13153,13546
501,520,11349,11534,11713,11909,12089,12276,12472,12646,12836,13027,13312,13710
521,540,11481,11668,11852,12049,12231,12419,12617,12795,12987,13182,13470,13874
541,560,11614,11801,11988,12191,12372,12564,12764,12943,13141,13335,13629,14040
561,580,11747,11936,12125,12330,12515,12709,12911,13094,13294,13489,13785,14201
581,600,11881,12071,12263,12472,12657,12855,13057,13245,13446,13643,13945,14368
601,620,12013,12205,12402,12612,12797,12999,13205,13394,13599,13798,14104,14531
621,640,12149,12341,12538,12749,12940,13143,13352,13533,13752,13952,14262,14694
641,660,12280,12476,12677,12890,13082,13290,13496,13692,13904,14106,14420,14860
661,680,12414,12612,12814,13027,13225,13435,13643,13842,14055,14260,14578,15024
681,700,12543,12745,12952,13167,13365,13580,13788,13993,14208,14413,14736,15186
701,720,12677,12879,13090,13306,13508,13725,13936,14140,14360,14567,14896,15352
721,740,12809,13015,13227,13445,13650,13869,14082,14291,14514,14720,15054,15517
741,760,12940,13148,13364,13585,13791,14014,14229,14439,14663,14874,15212,15681
761,780,13071,13281,13503,13722,13934,14159,14377,14588,14814,15029,15369,15846
781,800,13205,13418,13641,13862,14076,14305,14523,14737,14966,15182,15530,16009
801,820,13335,13552,13778,14001,14219,14449,14670,14887,15117,15334,15686,16172
821,840,13466,13689,13916,14140,14360,14593,14814,15037,15267,15491,15846,16338
841,860,13599,13823,14053,14280,14504,14736,14961,15185,15417,15643,16003,16502
861,880,13732,13957,14191,14419,14645,14881,15108,15334,15568,15796,16163,16666
881,900,13862,14092,14328,14558,14788,15024,15255,15486,15721,15952,16320,16829
901,920,13995,14226,14464,14695,14929,15168,15402,15636,15872,16104,16478,16995
921,940,14125,14360,14601,14837,15072,15309,15547,15785,16023,16258,16637,17159
941,960,14257,14494,14736,14975,15213,15454,15693,15934,16172,16413,16796,17323
961,980,14389,14629,14873,15114,15354,15597,15839,16083,16323,16567,16953,17486
981,1000,14522,14764,15010,15254,15497,15742,15985,16232,16475,16720,17112,17648
