miles_from,miles_to,w_7600_7799,w_7800_7999,w_8000_8199,w_8200_8399,w_8400_8599,w_8600_8799,w_8800_8999,w_9000_9199,w_9200_9399,w_9400_9599,w_9600_9799,w_9800_9999
1,20,5602,5708,5813,5917,6022,6129,6235,6337,6442,6548,6654,6759
21,40,5812,5921,6031,6143,6250,6360,6470,6579,6689,6800,6909,7018
41,60,6020,6134,6250,6364,6479,6594,6708,6823,6936,7051,7165,7279
61,80,6230,6348,6469,6589,6705,6826,6947,7065,7185,7304,7422,7541
81,100,6438,6561,6686,6810,6935,7058,7185,7308,7432,7556,7679,7804
101,120,6644,6777,6905,7035,7163,7293,7420,7548,7679,7807,7935,8065
121,140,6853,6991,7124,7258,7391,7525,7657,7792,7924,8058,8192,8327
141,160,7063,7204,7344,7482,7619,7757,7898,8035,8174,8312,8448,8586
161,180,7271,7417,7561,7702,7848,7991,8134,8278,8419,8524,8666,8807
181,200,7481,7631,7781,7928,8035,8184,8332,8479,8626,8774,8923,9069
201,220,7584,7737,7889,8039,8150,8299,8453,8602,8752,8901,9050,9200
221,240,7687,7842,7999,8150,8266,8417,8572,8724,8878,9031,9178,9328
241,260,7791,7951,8109,8261,8379,8532,8693,8848,9000,9157,9308,9461
261,280,7895,8057,8219,8373,8497,8651,8812,8970,9125,9283,9436,9590
281,300,7997,8163,8329,8483,8611,8769,8932,9091,9248,9411,9569,9722
301,320,8101,8270,8438,8595,8728,8884,9050,9214,9372,9539,9696,9851
321,340,8205,8376,8547,8707,8842,9002,9172,9336,9497,9665,9825,9981
341,360,8308,8483,8657,8816,8958,9118,9291,9455,9620,9792,9953,10110
361,380,8413,8589,8768,8927,9072,9235,9411,9576,9744,9920,10081,10240
381,400,8516,8696,8876,9038,9188,9351,9531,9698,9870,10047,10209,10372
401,420,8619,8802,8982,9150,9301,9468,9652,9820,9994,10175,10338,10501
421,440,8723,8908,9090,9261,9414,9585,9770,9941,10119,10301,10469,10631
441,460,8826,9017,9199,9371,9529,9701,9891,10062,10245,10430,10598,10760
461,480,8929,9123,9306,9484,9641,9820,10011,10184,10367,10557,10724,10893
481,500,9034,9231,9414,9592,9758,9937,10130,10304,10491,10681,10853,11022
501,520,9136,9337,9522,9703,9870,10054,10250,10427,10614,10808,10983,11154
521,540,9239,9443,9631,9814,9983,10169,10371,10547,10740,10935,11112,11282
541,560,9345,9548,9739,9926,10098,10289,10490,10669,10864,11061,11240,11415
561,580,9449,9655,9846,10037,10211,10403,10607,10789,10987,11184,11368,11544
581,600,9552,9762,9954,10147,10325,10521,10725,10911,11113,11311,11498,11673
601,620,9655,9869,10062,10259,10439,10637,10845,11032,11237,11437,11627,11803
621,640,9760,9972,10169,10371,10555,10755,10965,11155,11360,11561,11755,11934
641,660,9864,10078,10278,10480,10668,10870,11082,11275,11485,11689,11883,12065
661,680,9966,10184,10386,10590,10782,10987,11201,11397,11611,11815,12012,12195
681,700,10068,10290,10493,10703,10895,11106,11318,11517,11734,11939,12141,12325
701,720,10173,10393,10603,10814,11008,11221,11437,11641,11859,12066,12268,12456
721,740,10277,10499,10711,10926,11123,11339,11555,11760,11983,12192,12399,12584
741,760,10380,10604,10818,11037,11237,11458,11673,11882,12108,12319,12528,12717
761,780,10483,10710,10927,11145,11352,11573,11790,12003,12233,12444,12657,12846
781,800,10587,10814,11034,11259,11464,11690,11910,12124,12352,12570,12786,12975
801,820,10691,10921,11141,11368,11579,11808,12029,12246,12477,12696,12913,13106
821,840,10794,11024,11250,11480,11692,11924,12149,12368,12600,12818,13043,13235
841,860,10895,11128,11358,11590,11808,12040,12264,12489,12723,12944,13170,13365
861,880,10998,11233,11465,11699,11922,12154,12384,12612,12846,13071,13299,13496
881,900,11097,11339,11575,11811,12034,12268,12502,12730,12969,13197,13428,13626
901,920,11202,11444,11683,11921,12150,12386,12619,12853,13091,13322,13557,13756
921,940,11305,11549,11789,12029,12262,12501,12741,12974,13213,13448,13687,13887
941,960,11405,11654,11899,12139,12375,12616,12857,13096,13336,13575,13816,14016
961,980,11507,11759,12007,12247,12490,12730,12975,13216,13460,13700,13942,14148
981,1000,11611,11864,12113,12356,12604,12847,13094,13337,13584,13826,14072,14275
