miles_from,miles_to,w_1000_1099,w_1100_1199,w_1200_1299,w_1300_1399,w_1400_1499,w_1500_1599,w_1600_1699,w_1700_1799,w_1800_1899,w_1900_1999,w_2000_2099,w_2100_2199
1,20,1897,1980,2062,2146,2228,2310,2393,2475,2560,2642,2706,2754
21,40,1927,2013,2099,2184,2270,2355,2442,2528,2613,2697,2765,2817
41,60,1960,2048,2135,2225,2312,2401,2490,2578,2666,2754,2828,2879
61,80,1991,2080,2172,2265,2354,2448,2538,2627,2720,2810,2886,2941
81,100,2021,2115,2209,2303,2396,2493,2584,2681,2775,2869,2945,3003
101,120,2053,2148,2245,2342,2439,2536,2636,2731,2829,2923,3003,3067
121,140,2085,2183,2284,2382,2481,2581,2683,2783,2880,2982,3063,3129
141,160,2115,2218,2319,2423,2523,2625,2731,2832,2935,3039,3122,3191
161,180,2146,2249,2355,2461,2566,2672,2777,2884,2988,3092,3183,3254
181,200,2178,2285,2393,2500,2608,2718,2828,2935,3042,3150,3242,3315
201,220,2195,2302,2412,2521,2631,2741,2849,2960,3069,3177,3271,3345
221,240,2209,2321,2430,2541,2653,2765,2874,2984,3094,3209,3301,3378
241,260,2226,2338,2451,2563,2675,2791,2898,3010,3122,3237,3332,3408
261,280,2242,2355,2470,2582,2697,2813,2920,3036,3149,3261,3360,3440
281,300,2259,2373,2490,2604,2720,2837,2945,3061,3175,3291,3390,3470
301,320,2274,2391,2508,2624,2741,2860,2968,3086,3201,3319,3420,3501
321,340,2289,2410,2528,2646,2764,2884,2993,3110,3228,3346,3448,3532
341,360,2308,2427,2547,2666,2787,2907,3017,3134,3256,3376,3480,3565
361,380,2323,2445,2565,2688,2808,2932,3040,3162,3283,3402,3508,3594
381,400,2339,2462,2584,2708,2831,2955,3063,3185,3309,3431,3536,3626
401,420,2355,2478,2604,2730,2852,2979,3087,3212,3336,3459,3568,3657
421,440,2372,2498,2623,2750,2875,3001,3110,3238,3363,3487,3596,3687
441,460,2387,2515,2643,2769,2898,3026,3133,3260,3389,3515,3628,3719
461,480,2407,2534,2662,2792,2919,3048,3156,3287,3415,3545,3657,3750
481,500,2422,2552,2683,2810,2941,3072,3182,3313,3442,3571,3684,3780
501,520,2437,2569,2702,2832,2963,3100,3206,3337,3469,3598,3717,3812
521,540,2454,2585,2720,2852,2985,3121,3228,3363,3493,3629,3745,3844
541,560,2470,2604,2738,2874,3007,3146,3254,3386,3523,3657,3776,3873
561,580,2486,2622,2757,2893,3029,3169,3276,3411,3549,3683,3806,3905
581,600,2501,2641,2777,2916,3054,3192,3300,3439,3575,3713,3833,3936
601,620,2519,2659,2796,2936,3073,3215,3323,3462,3599,3740,3863,3967
621,640,2535,2675,2815,2957,3100,3240,3346,3487,3629,3768,3893,3998
641,660,2552,2692,2836,2978,3119,3260,3369,3512,3656,3797,3923,4030
661,680,2566,2710,2854,2998,3141,3284,3396,3536,3681,3824,3951,4059
681,700,2582,2730,2874,3019,3163,3304,3417,3565,3708,3854,3982,4092
701,720,2600,2748,2891,3039,3183,3327,3442,3590,3735,3882,4012,4122
721,740,2617,2763,2909,3059,3205,3351,3466,3613,3762,3908,4041,4153
741,760,2631,2778,2926,3077,3225,3373,3489,3638,3788,3938,4072,4185
761,780,2646,2795,2945,3094,3246,3396,3512,3663,3815,3966,4100,4215
781,800,2661,2810,2962,3114,3264,3416,3535,3689,3843,3994,4130,4246
801,820,2675,2829,2980,3133,3287,3440,3560,3716,3867,4020,4159,4276
821,840,2690,2844,2998,3153,3306,3461,3585,3739,3894,4050,4186,4305
841,860,2705,2860,3017,3172,3327,3484,3609,3764,3920,4076,4214,4337
861,880,2720,2876,3033,3192,3348,3506,3630,3788,3946,4101,4242,4366
881,900,2734,2892,3051,3212,3368,3528,3652,3812,3970,4129,4271,4394
901,920,2750,2909,3069,3229,3390,3550,3675,3835,3995,4155,4299,4425
921,940,2764,2924,3087,3251,3410,3571,3697,3860,4019,4182,4327,4455
941,960,2778,2941,3105,3269,3431,3594,3719,3883,4045,4208,4355,4482
961,980,2794,2959,3122,3289,3452,3617,3740,3906,4072,4235,4383,4514
981,1000,2808,2976,3140,3306,3473,3638,3763,3930,4097,4262,4412,4543
