miles_from,miles_to,w_3400_3499,w_3500_3599,w_3600_3699,w_3700_3799,w_3800_3899,w_3900_3999,w_4000_4199,w_4200_4399,w_4400_4599,w_4600_4799,w_4800_4999,w_5000_5199
1,20,3378,3424,3473,3522,3568,3614,3694,3798,3905,4012,4117,4225
21,40,3477,3527,3577,3629,3678,3730,3810,3922,4033,4143,4254,4366
41,60,3575,3629,3681,3735,3789,3844,3928,4044,4160,4276,4392,4508
61,80,3675,3731,3786,3844,3900,3954,4045,4167,4287,4409,4529,4652
81,100,3775,3831,3892,3950,4010,4071,4162,4289,4415,4542,4667,4794
101,120,3872,3934,3997,4058,4121,4184,4282,4412,4543,4674,4805,4936
121,140,3971,4037,4101,4167,4232,4298,4396,4534,4669,4806,4944,5079
141,160,4073,4139,4206,4275,4342,4411,4515,4656,4797,4938,5080,5222
161,180,4171,4241,4313,4383,4454,4522,4634,4780,4926,5073,5220,5366
181,200,4271,4343,4416,4489,4564,4638,4749,4902,5054,5204,5357,5508
201,220,4319,4393,4469,4543,4618,4694,4809,4963,5117,5270,5426,5579
221,240,4368,4442,4520,4595,4671,4749,4869,5024,5180,5337,5496,5649
241,260,4416,4496,4572,4650,4728,4806,4929,5085,5245,5404,5564,5720
261,280,4467,4544,4624,4702,4782,4860,4988,5145,5307,5472,5630,5792
281,300,4515,4594,4676,4757,4837,4919,5044,5206,5372,5537,5700,5863
301,320,4564,4645,4728,4809,4891,4975,5102,5267,5437,5604,5768,5934
321,340,4612,4696,4780,4860,4947,5031,5160,5328,5498,5670,5836,6005
341,360,4661,4745,4832,4917,5002,5087,5219,5388,5562,5736,5904,6073
361,380,4710,4796,4883,4968,5057,5143,5274,5450,5626,5804,5973,6147
381,400,4760,4846,4934,5023,5112,5200,5333,5510,5689,5870,6041,6218
401,420,4807,4896,4988,5075,5164,5256,5390,5569,5753,5937,6108,6288
421,440,4856,4947,5037,5130,5221,5312,5450,5629,5818,6004,6176,6360
441,460,4905,4996,5089,5182,5274,5368,5505,5690,5880,6069,6243,6431
461,480,4953,5047,5142,5234,5330,5425,5564,5752,5945,6134,6314,6503
481,500,5003,5099,5194,5289,5384,5482,5623,5813,6007,6199,6381,6573
501,520,5052,5149,5246,5342,5440,5537,5681,5873,6070,6265,6448,6643
521,540,5101,5199,5298,5396,5495,5594,5736,5934,6134,6329,6516,6715
541,560,5150,5249,5349,5450,5550,5649,5794,5994,6198,6396,6586,6786
561,580,5199,5299,5402,5500,5604,5707,5853,6054,6262,6461,6654,6855
581,600,5247,5349,5453,5556,5658,5762,5910,6115,6326,6526,6721,6928
601,620,5297,5399,5503,5607,5713,5819,5967,6176,6389,6592,6789,6997
621,640,5345,5451,5557,5663,5768,5874,6024,6237,6453,6656,6855,7070
641,660,5395,5499,5607,5714,5822,5931,6085,6298,6514,6721,6926,7142
661,680,5442,5551,5661,5768,5878,5988,6143,6359,6577,6786,6993,7212
681,700,5492,5601,5712,5821,5933,6044,6198,6420,6639,6851,7062,7283
701,720,5540,5650,5763,5874,5988,6101,6256,6481,6701,6917,7128,7355
721,740,5588,5702,5815,5927,6043,6156,6315,6540,6764,6980,7196,7425
741,760,5639,5752,5867,5980,6095,6212,6371,6600,6826,7047,7266,7497
761,780,5686,5802,5918,6034,6150,6267,6429,6662,6888,7112,7334,7567
781,800,5735,5853,5971,6088,6204,6321,6486,6722,6950,7178,7403,7638
801,820,5783,5903,6022,6139,6257,6376,6546,6783,7012,7242,7469,7711
821,840,5834,5952,6071,6192,6313,6431,6601,6843,7075,7307,7539,7781
841,860,5880,6003,6125,6242,6364,6485,6659,6903,7137,7372,7606,7850
861,880,5927,6050,6174,6296,6419,6540,6718,6963,7201,7438,7673,7919
881,900,5976,6101,6222,6346,6470,6595,6777,7020,7261,7501,7742,7989
901,920,6022,6148,6275,6398,6525,6652,6834,7080,7322,7567,7809,8058
921,940,6069,6197,6325,6451,6577,6704,6891,7141,7386,7632,7878,8130
941,960,6116,6244,6375,6503,6631,6761,6949,7201,7448,7697,7946,8199
961,980,6165,6296,6425,6554,6684,6812,7006,7258,7510,7763,8016,8267
981,1000,6212,6344,6474,6607,6738,6869,7064,7316,7572,7827,8083,8336
