miles_from,miles_to,w_2200_2299,w_2300_2399,w_2400_2499,w_2500_2599,w_2600_2699,w_2700_2799,w_2800_2899,w_2900_2999,w_3000_3099,w_3100_3199,w_3200_3299,w_3300_3399
1,20,2802,2849,2898,2947,2995,3042,3089,3137,3185,3232,3280,3331
21,40,2869,2918,2968,3021,3071,3122,3172,3222,3272,3323,3376,3426
41,60,2933,2985,3040,3092,3148,3200,3255,3309,3363,3415,3469,3523
61,80,2998,3056,3110,3169,3225,3280,3337,3395,3448,3506,3563,3618
81,100,3063,3122,3182,3242,3301,3360,3420,3480,3535,3595,3656,3716
101,120,3129,3191,3254,3315,3378,3440,3501,3565,3626,3687,3750,3812
121,140,3194,3258,3322,3389,3453,3520,3585,3647,3713,3778,3844,3907
141,160,3258,3325,3395,3462,3530,3596,3666,3734,3801,3867,3936,4005
161,180,3323,3395,3464,3535,3607,3677,3749,3818,3889,3961,4030,4100
181,200,3389,3461,3534,3611,3682,3758,3829,3904,3975,4051,4124,4197
201,220,3422,3493,3570,3647,3721,3797,3871,3947,4019,4097,4171,4243
221,240,3453,3529,3607,3683,3761,3837,3912,3990,4064,4142,4219,4290
241,260,3486,3565,3640,3721,3798,3876,3952,4033,4108,4188,4268,4339
261,280,3520,3596,3677,3760,3837,3917,3995,4076,4153,4233,4314,4385
281,300,3551,3632,3713,3796,3875,3956,4037,4118,4198,4278,4361,4434
301,320,3585,3666,3749,3831,3914,3997,4078,4161,4242,4326,4409,4480
321,340,3617,3699,3783,3870,3951,4037,4119,4204,4286,4370,4456,4528
341,360,3650,3734,3820,3906,3991,4077,4161,4246,4330,4416,4502,4576
361,380,3681,3767,3855,3945,4030,4117,4203,4289,4375,4463,4550,4623
381,400,3716,3801,3890,3978,4067,4158,4243,4331,4422,4508,4596,4669
401,420,3746,3835,3927,4016,4104,4197,4285,4375,4466,4554,4645,4718
421,440,3779,3870,3962,4055,4145,4237,4327,4418,4508,4601,4692,4764
441,460,3812,3904,3997,4092,4184,4276,4368,4460,4552,4647,4739,4811
461,480,3845,3938,4033,4129,4224,4317,4411,4505,4596,4692,4785,4858
481,500,3876,3971,4067,4164,4261,4358,4453,4548,4643,4738,4835,4907
501,520,3908,4006,4102,4203,4299,4395,4494,4591,4687,4783,4881,4953
521,540,3943,4040,4139,4240,4338,4436,4534,4634,4732,4830,4930,5002
541,560,3974,4075,4174,4276,4375,4476,4576,4676,4776,4876,4976,5048
561,580,4008,4106,4209,4314,4414,4516,4615,4719,4821,4921,5024,5097
581,600,4040,4142,4245,4350,4454,4557,4657,4762,4864,4967,5072,5143
601,620,4073,4176,4282,4388,4491,4595,4699,4805,4908,5013,5117,5191
621,640,4103,4209,4317,4425,4529,4636,4741,4847,4952,5059,5162,5240
641,660,4137,4243,4351,4460,4568,4676,4782,4890,4996,5103,5208,5287
661,680,4170,4277,4388,4499,4607,4717,4824,4932,5039,5149,5255,5333
681,700,4203,4313,4424,4536,4645,4754,4864,4974,5083,5193,5300,5381
701,720,4235,4346,4458,4572,4684,4793,4904,5014,5125,5238,5346,5427
721,740,4269,4381,4496,4608,4720,4832,4944,5057,5169,5283,5393,5475
741,760,4300,4414,4528,4644,4759,4870,4984,5099,5212,5327,5439,5522
761,780,4331,4445,4563,4678,4794,4908,5024,5139,5255,5370,5484,5569
781,800,4364,4479,4595,4715,4832,4947,5065,5180,5298,5414,5530,5619
801,820,4394,4512,4628,4749,4869,4985,5103,5222,5341,5458,5577,5666
821,840,4426,4544,4665,4784,4905,5024,5143,5264,5383,5502,5623,5712
841,860,4457,4578,4698,4822,4943,5062,5183,5305,5426,5547,5668,5759
861,880,4488,4610,4733,4856,4980,5101,5224,5346,5468,5593,5713,5805
881,900,4519,4643,4765,4891,5017,5139,5264,5388,5513,5637,5759,5852
901,920,4550,4674,4800,4929,5054,5178,5304,5429,5556,5682,5805,5897
921,940,4581,4706,4835,4963,5089,5216,5343,5472,5598,5726,5852,5944
941,960,4612,4739,4869,4998,5128,5255,5383,5513,5641,5769,5897,5989
961,980,4644,4774,4902,5034,5163,5292,5424,5553,5684,5814,5944,6034
981,1000,4674,4805,4936,5070,5201,5332,5463,5595,5727,5859,5989,6082
