miles_from,miles_to,w_5200_5399,w_5400_5599,w_5600_5799,w_5800_5999,w_6000_6199,w_6200_6399,w_6400_6599,w_6600_6799,w_6800_6999,w_7000_7199,w_7200_7399,w_7400_7599
1,20,4328,4435,4542,4647,4753,4858,4965,5073,5178,5286,5389,5496
21,40,4476,4587,4698,4809,4920,5033,5143,5256,5367,5478,5588,5700
41,60,4624,4741,4856,4974,5088,5206,5322,5439,5556,5670,5789,5903
61,80,4774,4892,5014,5136,5257,5379,5499,5623,5742,5864,5987,6106
81,100,4920,5045,5174,5299,5425,5553,5681,5805,5931,6059,6183,6311
101,120,5069,5200,5330,5460,5594,5727,5857,5989,6120,6250,6382,6513
121,140,5216,5352,5488,5625,5761,5901,6036,6173,6306,6443,6579,6716
141,160,5364,5503,5646,5789,5929,6071,6213,6357,6497,6638,6779,6921
161,180,5513,5658,5805,5951,6098,6244,6391,6539,6685,6833,6977,7124
181,200,5661,5812,5962,6114,6265,6420,6571,6721,6874,7025,7178,7328
201,220,5733,5888,6043,6195,6348,6507,6659,6811,6967,7120,7274,7429
221,240,5808,5965,6122,6278,6433,6594,6748,6904,7060,7217,7374,7532
241,260,5881,6043,6199,6359,6517,6682,6838,6995,7152,7313,7474,7632
261,280,5957,6117,6279,6440,6601,6767,6927,7085,7247,7409,7573,7733
281,300,6029,6195,6358,6521,6686,6854,7016,7178,7341,7503,7672,7834
301,320,6104,6274,6434,6601,6770,6942,7104,7268,7433,7602,7771,7934
321,340,6177,6348,6513,6684,6854,7032,7191,7357,7526,7697,7870,8035
341,360,6253,6426,6593,6765,6939,7118,7281,7448,7619,7793,7970,8135
361,380,6326,6504,6671,6848,7025,7205,7371,7539,7713,7889,8068,8237
381,400,6400,6579,6748,6928,7109,7293,7458,7628,7806,7987,8167,8336
401,420,6473,6657,6827,7010,7191,7378,7546,7718,7899,8083,8267,8438
421,440,6548,6735,6905,7090,7277,7466,7637,7808,7992,8178,8369,8539
441,460,6621,6809,6985,7172,7361,7550,7725,7899,8085,8274,8464,8639
461,480,6697,6885,7063,7254,7447,7637,7814,7989,8178,8372,8561,8739
481,500,6769,6962,7142,7335,7531,7723,7903,8079,8272,8468,8660,8840
501,520,6843,7036,7220,7416,7615,7808,7992,8170,8364,8562,8756,8940
521,540,6918,7112,7299,7498,7698,7895,8080,8260,8458,8660,8855,9041
541,560,6992,7187,7376,7580,7784,7980,8170,8350,8553,8755,8953,9140
561,580,7065,7263,7455,7660,7868,8066,8258,8440,8645,8852,9049,9242
581,600,7141,7340,7533,7742,7953,8152,8348,8530,8738,8947,9148,9344
601,620,7214,7413,7610,7824,8036,8238,8436,8622,8832,9045,9245,9445
621,640,7288,7489,7689,7905,8118,8324,8525,8711,8925,9138,9344,9545
641,660,7358,7564,7769,7987,8203,8409,8614,8801,9018,9235,9441,9644
661,680,7432,7639,7848,8067,8286,8495,8702,8892,9111,9328,9539,9744
681,700,7502,7715,7924,8148,8370,8581,8792,8982,9203,9424,9637,9846
701,720,7576,7791,8004,8230,8450,8667,8881,9072,9299,9517,9731,9948
721,740,7649,7867,8083,8313,8532,8753,8969,9162,9390,9615,9831,10047
741,760,7721,7942,8161,8393,8617,8838,9056,9253,9485,9709,9928,10147
761,780,7793,8018,8239,8475,8700,8925,9147,9344,9576,9804,10026,10249
781,800,7867,8093,8317,8556,8782,9010,9235,9433,9669,9897,10123,10349
801,820,7940,8167,8396,8638,8864,9094,9323,9526,9764,9993,10223,10449
821,840,8010,8244,8475,8715,8947,9181,9413,9615,9855,10086,10320,10551
841,860,8084,8319,8554,8796,9032,9266,9500,9703,9949,10183,10417,10651
861,880,8156,8394,8630,8879,9113,9352,9590,9793,10039,10277,10515,10753
881,900,8229,8470,8710,8957,9197,9440,9680,9884,10133,10372,10612,10852
901,920,8300,8546,8789,9036,9279,9527,9768,9975,10224,10465,10711,10953
921,940,8374,8622,8865,9116,9362,9612,9855,10064,10316,10561,10808,11052
941,960,8446,8696,8945,9197,9446,9697,9945,10155,10407,10654,10906,11155
961,980,8518,8772,9023,9277,9529,9783,10035,10247,10499,10752,11004,11253
981,1000,8591,8848,9102,9357,9612,9869,10122,10336,10589,10845,11099,11356
